episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-8391.08595934646,0.49893570960045,85.02725743851387,49.10951880738139,178.9437971738095,282.82218159640723,None
2,96,-8488.119083471523,0.4867312679095317,85.6605541545444,51.74853876233101,168.64353898922178,278.1536870093421,None
3,96,-14381.083980031852,0.25318740551582286,141.7326752212137,80.41418436914682,97.32788496533604,316.3057601242615,None
4,96,-11415.53773098964,0.3973561854010269,115.13405948734794,47.51654518768191,168.03487366052227,318.4137868788588,None
5,96,-8474.358154354599,0.4871613470491827,85.88086915267323,50.121663231402636,182.52186618847176,279.10295196654977,None
6,96,-9348.373409829279,0.4437176985387836,93.80572546744538,64.19715527445078,176.80937098091027,281.04952353939984,None
7,96,-7867.81471077421,0.538593998117865,76.62165508604411,97.65448216348886,141.48437276836805,276.76874153310547,None
8,96,-8988.110291373974,0.47030861818342207,89.06621002707895,65.60736913233995,123.54371562517228,280.24560805459384,None
9,96,-9180.382684906072,0.4607166181269271,91.31536535279015,60.77264929190278,127.82242366125149,282.2120627180831,None
10,96,-10383.79803581464,0.45725934554346936,104.25847139621057,65.6756586395204,185.5081633921562,320.1604994335309,None
