episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-2574.405123932619,0.8961914735934764,18.325431598969896,225.00000894069672,192.89404032796628,294.21847179177166,None
2,96,-5941.203793935726,0.7055660698496082,51.76365634808439,221.2500087916851,172.37094241020645,293.01229153879797,None
3,96,-6620.018694750979,0.6716264002440657,57.28222575681901,236.25000938773155,146.42696392883,290.73706391842694,None
4,96,-3483.179147224769,0.8562184587588348,26.09868825913656,247.5000098347664,183.27986392778274,302.52710737234776,None
5,96,-3448.8237773051974,0.8879830854386688,19.97763828457883,363.7500025331974,185.03003190575996,297.2413937486308,None
6,96,-5848.0784373354045,0.7933199078755583,48.32409981764571,266.25001057982445,159.01079865997298,389.6851677144103,None
7,96,-6885.730316641072,0.7244485270431943,57.02199846778598,288.7500114738941,131.4847937505173,344.89622970686924,None
8,96,-6229.295778224632,0.7124652652881333,51.31111474589356,270.00001072883606,127.422874999088,297.41980447053055,None
9,96,-4392.629762913496,0.8065657972822918,34.769434991633446,247.5000098347664,162.1668927082637,299.5802061125566,None
10,96,-3726.7417758856222,0.8427034031900238,28.34515928660298,243.75000968575478,164.62710059635975,300.3366449269681,None
