episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-8233.323014448153,0.5103415910728912,83.09175566987433,56.27555251121521,178.9437971738095,282.82218159640723,None
2,96,-8720.30229130441,0.46927452357067334,88.57394883516413,39.89983033388853,168.64353898922178,278.1536870093421,None
3,96,-11201.259998533596,0.4175539942373565,110.53861595045576,85.44133715331554,140.08313125077925,316.3057601242615,None
4,96,-10422.894336796748,0.45723816563614184,103.69371063186719,77.83771213144064,168.03487366052227,318.4137868788588,None
5,96,-8952.017864820782,0.45556278311076737,91.17242063654251,39.81322459876537,182.52186618847176,279.10295196654977,None
6,96,-9673.079950947538,0.41443035811870876,98.74444130992433,30.31222838908434,176.80937098091027,281.04952353939984,None
7,96,-7943.934024027745,0.530314186400787,77.99661092748416,85.36364389583468,141.48437276836805,276.76874153310547,None
8,96,-8291.383299995723,0.5220217564376071,80.37078210240574,100.21782536059618,123.54371562517228,280.24560805459384,None
9,96,-9232.125583173392,0.45769840924956184,91.82643032458732,60.9015392139554,127.82242366125149,282.2120627180831,None
10,96,-10297.934908403753,0.46168927570559204,103.40749820431405,65.52009442821145,185.5081633921562,320.1604994335309,None
