episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-1940.1129464582502,1.0,0.0,442.4895556643605,137.70729765738568,296.20347034411265,None
2,96,-2037.4451492524645,1.0,0.0,463.72470539063215,142.0891946811725,339.3892934252834,None
3,96,-1924.0516041609615,1.0,0.0,450.3119465894997,165.24334941007348,336.2639735848985,None
4,96,-2028.199474599894,1.0,0.0,452.1182617172599,117.74191402051018,296.66568424844314,None
5,96,-1916.484493094252,1.0,0.0,440.4005669988692,144.29844680934258,296.0936264681122,None
6,96,-1628.373772271137,1.0,0.0,401.67351765558124,191.4564947809229,297.61027368280423,None
7,96,-1445.3636789823197,1.0,0.0,378.000779915601,223.74678612266388,295.05299530286584,None
8,96,-1780.2597566666261,1.0,0.0,418.24207892641425,156.95702735063668,295.8714905577422,None
9,96,-1834.3662430567483,1.0,0.0,441.3003034889698,187.5349809267652,342.7796466326579,None
10,96,-1843.7827364397162,1.0,0.0,438.15933177247643,174.95348218731021,341.7053236288315,None
