episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-2660.829818655382,0.8912917871918021,19.190378546185602,225.00000894069672,192.89404032796628,294.21847179177166,None
2,96,-5394.0648469410235,0.7403804305891524,46.29156687814928,221.2500087916851,172.37094241020645,297.1756391040316,None
3,96,-6657.308696244672,0.6716264002440657,57.28222575681901,243.75000968575478,146.42696392883,290.73706391842694,None
4,96,-3283.3674145449613,0.8641390564472984,24.66097095472599,236.25000938773155,183.27986392778274,302.52710737234776,None
5,96,-2864.870464539504,0.8849885130088059,20.511704814219033,236.25000938773155,185.03003190575996,297.2413937486308,None
6,96,-4012.459163315161,0.8538720070786422,29.78250706995695,270.00001072883606,159.01079865997298,339.68516771441017,None
7,96,-6862.269660628086,0.7228775547029735,57.34709193005554,277.5000110268593,131.4847937505173,344.89622970686924,None
8,96,-6285.195780465767,0.7124652652881333,51.31111474589356,281.2500111758709,127.422874999088,297.41980447053055,None
9,96,-4514.852556758033,0.7976793181314727,36.36676294500383,240.00000953674316,162.1668927082637,299.5802061125566,None
10,96,-3598.265057776057,0.8508734972795204,26.872892098056738,247.5000098347664,164.62710059635975,300.3366449269681,None
